Nazwa,Specjalisci na 10 tys,Sredni czas oczekiwania (dni),Specjalizacja,,,,,
Dolnośląskie,0.244988841,42,dermatologia,,,,,
Kujawsko-Pomorskie,0.319490276,62,dermatologia,,,,,
Łódzkie,0.300580765,24,dermatologia,,,,,
Lubelskie,0.247378295,33,dermatologia,,,,dermatologia,0.127256766
Lubuskie,0.249065744,53,dermatologia,,,,neurologia,-0.073752222
Małopolskie,0.242028937,149,dermatologia,,,,okulistyka,-0.312155879
Mazowieckie,0.32874083,101,dermatologia,,,,okulistyka,0.25391215
Opolskie,0.205731016,57,dermatologia,,,,,
Podkarpackie,0.287277968,43,dermatologia,,,,,
Podlaskie,0.239642347,79,dermatologia,,,,,
Pomorskie,0.301050412,94,dermatologia,,,,,
Śląskie,0.251068095,58,dermatologia,,,,,
Świętokrzyskie,0.261485078,32,dermatologia,,,,,
Warmińsko-Mazurskie,0.33594675,60,dermatologia,,,,,
Wielkopolskie,0.097945958,44,dermatologia,,,,,
Zachodniopomorskie,0.390654067,63,dermatologia,,,,,
Dolnośląskie,0.762965247,81,neurologia,,,,,
Kujawsko-Pomorskie,0.887472989,111,neurologia,,,,,
Łódzkie,0.691335759,85,neurologia,,,,,
Lubelskie,0.752231958,52,neurologia,,,,,
Lubuskie,0.612286621,107,neurologia,,,,,
Małopolskie,0.612362372,100,neurologia,,,,,
Mazowieckie,0.751926539,127,neurologia,,,,,
Opolskie,0.498085619,81,neurologia,,,,,
Podkarpackie,0.993300093,64,neurologia,,,,,
Podlaskie,0.665673186,82,neurologia,,,,,
Pomorskie,0.640262143,127,neurologia,,,,,
Śląskie,0.851754379,91,neurologia,,,,,
Świętokrzyskie,0.915197774,65,neurologia,,,,,
Warmińsko-Mazurskie,0.7166864,128,neurologia,,,,,
Wielkopolskie,0.437876048,70,neurologia,,,,,
Zachodniopomorskie,0.589081529,71,neurologia,,,,,
Dolnośląskie,0.713967479,101,okulistyka,,,,,
Kujawsko-Pomorskie,0.664336923,138,okulistyka,,,,,
Łódzkie,0.729981858,65,okulistyka,,,,,
Lubelskie,0.671455372,53,okulistyka,,,,,
Lubuskie,0.62266436,155,okulistyka,,,,,
Małopolskie,0.594866304,219,okulistyka,,,,,
Mazowieckie,0.697439109,109,okulistyka,,,,,
Opolskie,0.498085619,109,okulistyka,,,,,
Podkarpackie,0.457697102,107,okulistyka,,,,,
Podlaskie,0.576916762,179,okulistyka,,,,,
Pomorskie,0.54273877,169,okulistyka,,,,,
Śląskie,0.790747179,120,okulistyka,,,,,
Świętokrzyskie,0.540402495,97,okulistyka,,,,,
Warmińsko-Mazurskie,0.544980284,119,okulistyka,,,,,
Wielkopolskie,0.426352994,173,okulistyka,,,,,
Zachodniopomorskie,0.725500409,142,okulistyka,,,,,
Dolnośląskie,0.591473058,49,psychiatria,,,,,
Kujawsko-Pomorskie,0.786047505,84,psychiatria,,,,,
Łódzkie,0.979034492,64,psychiatria,,,,,
Lubelskie,0.732037812,26,psychiatria,,,,,
Lubuskie,0.550020185,57,psychiatria,,,,,
Małopolskie,0.807735128,36,psychiatria,,,,,
Mazowieckie,0.859085152,93,psychiatria,,,,,
Opolskie,0.508913567,48,psychiatria,,,,,
Podkarpackie,0.608639763,46,psychiatria,,,,,
Podlaskie,0.994071958,53,psychiatria,,,,,
Pomorskie,0.873470208,83,psychiatria,,,,,
Śląskie,0.746164994,104,psychiatria,,,,,
Świętokrzyskie,0.706009712,26,psychiatria,,,,,
Warmińsko-Mazurskie,0.51511835,54,psychiatria,,,,,
Wielkopolskie,0.368737724,55,psychiatria,,,,,
Zachodniopomorskie,0.626286678,75,psychiatria,,,,,
